file_name,num_nodes,num_edges,density,clustering_coefficient,characteristic_path_length,small_world_index
connectivity_timeseries_processed_sub-20_task-rest_run-1_bold.nii.csv,115,5419,0.826697177726926,0.9027415355610202,1.1736079328756674,1.0551718268008041
connectivity_timeseries_processed_sub-04_task-rest_run-1_bold.nii.csv,115,4823,0.7357742181540808,0.831669593602847,1.264378337147216,1.0413969681734785
connectivity_timeseries_processed_sub-25_task-rest_run-1_bold.csv,111,5187,0.8496314496314497,0.9002317010082792,,
connectivity_timeseries_processed_sub-23_task-rest_run-1_bold.nii.csv,115,5414,0.8259344012204424,0.9108662646868914,1.1740655987795576,1.0411307005333297
connectivity_timeseries_processed_sub-09_task-rest_run-1_bold.nii.csv,115,4286,0.6538520213577422,0.7419231902377914,1.3467581998474447,1.0539382900188417
connectivity_timeseries_processed_sub-07_task-rest_run-1_bold.nii.csv,115,5034,0.7679633867276888,0.8322980550463367,1.2320366132723113,1.0559104174104434
connectivity_timeseries_processed_sub-12_task-rest_run-1_bold.nii.csv,115,4602,0.7020594965675058,0.7891806230080031,1.2979405034324942,1.0697937375760485
connectivity_timeseries_processed_sub-14_task-rest_run-1_bold.nii.csv,115,4237,0.6463768115942029,0.7682974959949054,1.3537757437070939,1.022694392048029
connectivity_timeseries_processed_sub-01_task-rest_run-1_bold.nii.csv,115,5150,0.7856598016781083,0.8844970760716481,1.2144927536231884,1.0350183945911857
connectivity_timeseries_processed_sub-24_task-rest_run-1_bold.csv,112,3659,0.5886422136422137,0.7409117397172318,1.4128056628056629,1.0792431200660713
connectivity_timeseries_processed_sub-30_task-rest_run-1_bold.nii.csv,115,2131,0.32509534706331045,0.588443266853634,,
connectivity_timeseries_processed_sub-02_task-rest_run-1_bold.nii.csv,115,4158,0.634324942791762,0.7665567917754166,1.3678108314263921,1.0886407948246426
connectivity_timeseries_processed_sub-17_task-rest_run-1_bold.nii.csv,115,4479,0.6832951945080091,0.7747926543119575,1.317162471395881,1.0578646173033748
connectivity_timeseries_processed_sub-33_task-rest_run-1_bold.nii.csv,115,5012,0.7646071700991609,0.8373558001217907,1.235392829900839,1.0317029347606606
connectivity_timeseries_processed_sub-26_task-rest_run-1_bold.nii.csv,115,3809,0.5810831426392067,0.7552207936558802,1.423493516399695,1.0470536417081127
connectivity_timeseries_processed_sub-28_task-rest_run-1_bold.nii.csv,115,5150,0.7856598016781083,0.8753412515824859,1.2143401983218918,1.0575738742169751
connectivity_timeseries_processed_sub-29_task-rest_run-1_bold.nii.csv,115,3621,0.5524027459954234,0.7023965723047132,1.4475972540045767,1.2003938701977628
connectivity_timeseries_processed_sub-11_task-rest_run-1_bold.csv,114,5058,0.7852817885421518,0.8693233488135833,1.2153392330383481,1.048102797460408
connectivity_timeseries_processed_sub-27_task-rest_run-1_bold.nii.csv,115,4714,0.7191456903127383,0.7808447908263109,1.2808543096872615,1.0635477028958735
connectivity_timeseries_processed_sub-32_task-rest_run-1_bold.nii.csv,115,5276,0.804881769641495,0.8480041929871015,1.195118230358505,1.0120743201848215
connectivity_timeseries_processed_sub-16_task-rest_run-1_bold.nii.csv,115,5047,0.7699466056445462,0.8516945882234082,1.230053394355454,1.0007029665477463
connectivity_timeseries_processed_sub-18_task-rest_run-1_bold.nii.csv,115,3853,0.5877955758962624,0.6944821980931419,1.4122044241037377,1.0789221304837806
connectivity_timeseries_processed_sub-15_task-rest_run-1_bold.csv,110,3867,0.6450375312760633,0.7712691190603559,1.3559633027522935,1.141691262387145
connectivity_timeseries_processed_sub-22_task-rest_run-1_bold.csv,114,3842,0.5964912280701754,0.750977309674467,1.4061481136469491,1.1335186804709663
connectivity_timeseries_processed_sub-03_task-rest_run-1_bold.nii.csv,115,4361,0.6652936689549962,0.757835286004307,1.3347063310450038,1.1030178107377013
connectivity_timeseries_processed_sub-19_task-rest_run-1_bold.csv,112,4182,0.6727799227799228,0.7728657640198999,1.3285070785070785,1.0780094222126675
connectivity_timeseries_processed_sub-31_task-rest_run-1_bold.nii.csv,115,4382,0.6684973302822274,0.7789824294744047,1.3315026697177728,1.0406756777838502
connectivity_timeseries_processed_sub-13_task-rest_run-1_bold.nii.csv,115,3769,0.5749809305873379,0.68957845203007,1.425019069412662,1.122847781513945
connectivity_timeseries_processed_sub-06_task-rest_run-1_bold.nii.csv,115,3958,0.603813882532418,0.7464579164510541,,
connectivity_timeseries_processed_sub-08_task-rest_run-1_bold.nii.csv,115,3662,0.5586575133485888,0.7365297913522308,1.4421052631578948,1.0748322866062052
connectivity_timeseries_processed_sub-05_task-rest_run-1_bold.nii.csv,115,3925,0.5987795575896262,0.7282408359389377,1.4013729977116705,1.1158486256904754
connectivity_timeseries_processed_sub-10_task-rest_run-1_bold.nii.csv,115,4985,0.7604881769641495,0.8688342203667655,1.2395118230358504,1.0060387482813027
connectivity_timeseries_processed_sub-21_task-rest_run-1_bold.nii.csv,115,4275,0.6521739130434783,0.7495663873525991,1.3481311975591153,1.066182276827893
