row,column,difference
2,1,0.6408527190971047
2,2,0.7673547111790776
3,1,0.9140034019548327
3,3,0.7235272813594242
4,1,0.8292400102952786
4,4,0.786599165525792
5,1,0.7477184523347848
5,5,0.7599225310204587
6,1,0.7215948306912626
6,6,0.8183790961567721
7,1,0.7673547111790776
7,2,0.6408527190971047
7,3,0.5075659403017807
9,2,0.7960537344876036
10,2,0.8309701694749045
10,4,0.7170012909027497
11,2,0.7586776979419957
11,5,0.5066348414008726
12,2,0.7972762197156618
12,6,0.7363766590194927
13,1,0.7235272813594242
13,3,0.9140034019548327
14,3,0.7960537344876036
16,3,0.6394930476377885
16,4,0.5481029096975688
17,3,0.7425484493624009
18,3,0.8295115962434628
18,6,0.7322802462790245
19,1,0.786599165525792
19,4,0.8292400102952786
20,2,0.7170012909027497
20,4,0.8309701694749045
21,3,0.5481029096975688
21,4,0.6394930476377885
23,4,0.8092233418509223
23,5,0.6964393390072919
24,4,0.8664517751302808
24,6,0.7564752832734145
25,1,0.7599225310204587
25,5,0.7477184523347848
26,2,0.5066348414008726
26,5,0.7586776979419957
27,5,0.7425484493624009
28,4,0.6964393390072919
28,5,0.8092233418509223
30,5,0.5235864491827429
30,6,0.7558249326004017
31,1,0.8183790961567721
31,6,0.7215948306912626
32,2,0.7363766590194928
32,6,0.7972762197156618
33,3,0.7322802462790245
33,6,0.8295115962434628
34,4,0.7564752832734145
34,6,0.8664517751302808
35,5,0.7558249326004017
35,6,0.5235864491827429
