row,column,difference
2,1,0.8962036184557651
2,2,0.7673547111790776
3,1,0.9311663351707073
3,3,0.7235272813594242
4,1,0.9009714057223247
4,4,0.786599165525792
5,1,0.7673547111790776
5,2,0.8962036184557651
5,3,0.5247288735176554
8,2,0.7231107860036584
8,4,0.7170012909027497
9,1,0.7235272813594242
9,3,0.9311663351707073
12,3,0.6043464641525548
12,4,0.5481029096975688
13,1,0.786599165525792
13,4,0.9009714057223247
14,2,0.7170012909027497
14,4,0.7231107860036585
15,3,0.5481029096975688
15,4,0.6043464641525548
17,1,0.7599225310204587
18,2,0.5066348414008726
20,4,0.6964393390072919
21,1,0.8183790961567721
22,2,0.7363766590194928
23,3,0.7322802462790245
24,4,0.7564752832734145
